vcaa_school,vcaa_locality,acara_school_name,need_acara_suburb,exclude
adass israel school,elsternwick,Adass Israel School,,
adass israel school,east st kilda,,,y
bacchus marsh grammar,bacchus marsh,Bacchus Marsh Grammar,,
bacchus marsh grammar,aintree,,,y
beaconhills college,pakenham,Beaconhills College,,
beaconhills college,berwick,,,y
caulfield grammar school,st kilda east,Caulfield Grammar School,,
caulfield grammar school,wheelers hill,,,y
chairo christian school,drouin,Chairo Christian School,,
chairo christian school,leongatha,,,y
chairo christian school,nar nar goon,,,y
charles la trobe p-12 college,macleod west,Charles La Trobe P-12 College,,
charles la trobe p-12 college,preston,,,y
cire community school,lilydale,Cire Community School,,
cire community school,yarra junction,,,y
collingwood college,collingwood,Collingwood College,,
collingwood college,fitzroy north,,,y
emmanuel college,altona north,Emmanuel College,,
emmanuel college,warrnambool,Emmanuel College Warrnambool,,
gilson college,taylors hill,Gilson College,,
gilson college,mernda,,,y
heathdale christian college,werribee,Heathdale Christian College,,
heathdale christian college,melton,,,y
heritage college,ferntree gully,Heritage College Knox,,
heritage college,officer,Heritage College,,
hester hornbrook academy,melbourne,Hester Hornbrook Academy,,
hester hornbrook academy,south melbourne,,,y
ilim college,broadmeadows,Ilim College,,
ilim college,doveton,,,y
ivanhoe grammar school,ivanhoe,Ivanhoe Grammar School,,
ivanhoe grammar school,mernda,,,y
lighthouse christian college,cranbourne,Lighthouse Christian College Cranbourne,,
lighthouse christian college,keysborough,Lighthouse Christian College,,
minaret college,springvale,Minaret College,,
minaret college,officer,,,y
plenty river college,south morang,Plenty River College,,
plenty river college,greensborough,,,y
simonds catholic college,west melbourne,Simonds Catholic College,,
simonds catholic college,fitzroy north,,,y
st joseph's college,echuca,St Joseph's College - Brigidine Campus,,
st joseph's college,ferntree gully,St Joseph's College,,
st joseph's college,mildura,St Joseph's College Mildura,,
st joseph's college,newtown,St Joseph's College Geelong,,
village high school,ryanston,Village High School,,
village high school,wonthaggi,,,y
waverley christian college,wantirna south,Waverley Christian College,,
waverley christian college,narre warren south,,,y
wesley college,melbourne,Wesley College,,
wesley college,glen waverley,,,y
advance college of education,rosebud west,Advance College of Education Incorporated,,
australian internatl academy,coburg,Australian International Academy of Education,,
balmoral k-12 comm college,balmoral,Balmoral K-12 Community College,,
belgrave heights christian schl,belgrave heights,Belgrave Heights Christian School,,
bendigo senior sec college,bendigo,Bendigo Senior Secondary College,,
bendigo south east 7-10 sc,bendigo,Bendigo South East 7-10 Secondary College,,
box hill senior sec college,mont albert north,Box Hill Senior Secondary College,,
brauer college,warrnambool,Brauer Secondary College,,
camberwell anglican girls gs,canterbury,Camberwell Girls Grammar School,,
canterbury girls sec college,canterbury,Canterbury Girls Secondary College,,
caroline chisholm catholic coll,braybrook,Caroline Chisholm Catholic College,,
carrum downs sec college,carrum downs,Carrum Downs Secondary College,,
cathedral college,wangaratta,Cathedral College Wangaratta,,
catholic ladies college,eltham,Catholic Ladies' College Ltd,,
catholic regional college,caroline springs,Catholic Regional College Caroline Springs,,
catholic regional college,keilor north,Catholic Regional College North Keilor,,
catholic regional college,melton west,St Francis Catholic College,,
catholic regional college,st albans,Catholic Regional College St Albans,,
catholic regional college,sydenham,Catholic Regional College Sydenham,,
cranbourne east sec college,cranbourne east,Cranbourne East Secondary College,,
cranbourne west sec college,cranbourne west,Cranbourne West Secondary College,,
derrinallum p12 college,derrinallum,Derrinallum P-12 College,,
dimboola memorial sec college,dimboola,Dimboola Memorial Secondary College,,
djerriwarrh community college,melton,Djerriwarrh Community & Education Services - Djerriwarrh Community College,,
east doncaster sec college,doncaster east,East Doncaster Secondary College,,
f.c.j. college,benalla,FCJ College,,
fintona girls school,balwyn,Fintona Girls' School,,
flinders christian comm college,tyabb,Flinders Christian Community College,,
foundation college,narre warren,Foundation Learning Centre,,
fountain gate sec college,fountain gate,Fountain Gate Secondary College,,
galen college,wangaratta,Galen Catholic College,,
genazzano f.c.j. college,kew,Genazzano FCJ College,,
gladstone park sec college,gladstone park,Gladstone Park Secondary College,,
glen waverley sec college,glen waverley,Glen Waverley Secondary College,,
glenroy secondary college,glenroy,Glenroy College,,
good shepherd college,hamilton,Good Shepherd College - Senior Campus,,
goulburn valley grammar schl,shepparton,Goulburn Valley Grammar School,,
greater shepparton sec college,shepparton,Greater Shepparton Secondary College,,
greensborough sec college,greensborough,Greensborough Secondary College,,
hallam senior sec college,hallam,Hallam Secondary College,,
hampton park sec college,hampton park,Hampton Park Secondary College,,
hawkesdale college,hawkesdale,Hawkesdale P12 College,,
heatherton christian college,clarinda,Christway College,,
heywood & district sec college,heywood,Heywood District Secondary College,,
highview christian comm college,maryborough,Highview College,,
